City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Fortuna,US,2022-06-29 11:54:37,40.5982,-124.1573,55.92,92,100,1.99
246,Ribeira Grande,PT,2022-06-29 11:54:38,38.5167,-28.7,70.2,88,40,5.75
247,Antibes,FR,2022-06-29 11:54:39,43.5624,7.1278,86.63,67,0,8.05
248,Lethem,GY,2022-06-29 11:54:39,3.3803,-59.7968,77.85,85,90,3.44
249,Kupang,ID,2022-06-29 11:50:46,-10.1667,123.5833,76.59,85,86,12.26
250,Leningradskiy,RU,2022-06-29 11:54:40,69.3833,178.4167,43.56,94,99,4.85
251,Nazira,IN,2022-06-29 11:54:40,26.9167,94.7333,76.24,95,100,2.59
252,Kemijarvi,FI,2022-06-29 11:54:41,66.7131,27.4306,82.09,33,1,6.87
253,Jijiga,ET,2022-06-29 11:54:41,9.35,42.8,80.38,36,85,16.53
254,Pemberton,CA,2022-06-29 11:54:42,50.3164,-122.8027,54.34,95,100,3.8
255,The Valley,AI,2022-06-29 11:54:05,18.217,-63.0578,84.09,78,75,18.41
256,Cam Ranh,VN,2022-06-29 11:54:42,11.9214,109.1591,89.56,51,20,4.61
257,Palana,RU,2022-06-29 11:54:43,59.1167,159.9667,46.83,79,7,8.72
258,Sassandra,CI,2022-06-29 11:54:43,4.95,-6.0833,81.43,77,99,6.87
259,Vardo,NO,2022-06-29 11:54:44,70.3705,31.1107,66.18,68,0,5.75
260,Komsomolskiy,UZ,2022-06-29 11:54:49,40.4272,71.7189,102.92,16,0,6.91
261,Cayenne,GF,2022-06-29 11:54:50,4.9333,-52.3333,75.24,1,100,3.44
262,Aswan,EG,2022-06-29 11:54:50,24.0934,32.907,105.1,12,0,6.91
263,Salinas,US,2022-06-29 11:54:51,36.6777,-121.6555,59.99,84,100,9.22
264,San Patricio,US,2022-06-29 11:54:56,28.017,-97.5169,80.46,89,75,6.6
265,Coahuayana,MX,2022-06-29 11:54:56,18.7333,-103.6833,76.87,91,98,2.62
266,Simbahan,PH,2022-06-29 11:54:56,6.3032,120.5836,83.71,79,83,13.02
267,Georgiyevka,KZ,2022-06-29 11:54:57,43.0369,74.7114,100.44,17,0,4.47
268,Aykhal,RU,2022-06-29 11:54:59,66.0,111.5,57.38,64,76,21.63
269,Bethel,US,2022-06-29 11:55:00,41.3712,-73.414,68.41,89,100,2.17
270,Husavik,IS,2022-06-29 11:55:01,66.0449,-17.3389,48.6,95,100,5.28
271,Lompoc,US,2022-06-29 11:55:01,34.6391,-120.4579,62.78,94,0,4.61
272,Lamu,KE,2022-06-29 11:55:02,-2.2717,40.902,82.62,72,46,17.54
273,Portland,US,2022-06-29 11:53:29,45.5234,-122.6762,60.78,81,22,1.01
274,Kodiak,US,2022-06-29 11:55:04,57.79,-152.4072,52.92,90,18,3.33
275,Asbestovskiy,RU,2022-06-29 11:55:04,57.7557,61.3967,62.8,40,55,13.02
276,Segovia,ES,2022-06-29 11:55:05,41.1667,-4.0,84.43,21,7,10.45
277,Asau,RO,2022-06-29 11:55:06,46.4333,26.4,88.72,33,1,4.72
278,La Plata,AR,2022-06-29 11:55:07,-34.9215,-57.9545,49.03,72,1,8.08
279,Iracoubo,GF,2022-06-29 11:55:08,5.4802,-53.2011,74.79,92,100,1.52
280,Winneba,GH,2022-06-29 11:54:29,5.3511,-0.6231,80.96,78,92,9.13
281,Plettenberg Bay,ZA,2022-06-29 11:55:08,-34.0527,23.3716,71.64,35,0,2.59
282,Tilichiki,RU,2022-06-29 11:55:09,60.4667,166.1,46.62,93,60,4.45
283,Sur,OM,2022-06-29 11:55:09,22.5667,59.5289,95.52,52,95,13.71
284,Neuquen,AR,2022-06-29 11:55:11,-38.9516,-68.0591,57.09,54,40,8.05
285,La Sarre,CA,2022-06-29 11:55:12,48.8002,-79.1996,49.03,85,19,4.81
286,Antalaha,MG,2022-06-29 11:55:12,-14.9003,50.2788,74.71,68,59,15.01
287,Berlevag,NO,2022-06-29 11:55:13,70.8578,29.0864,86.0,60,0,11.5
288,Paamiut,GL,2022-06-29 11:55:13,61.994,-49.6678,38.62,96,100,27.81
